rent_per_month,County,year,Accumulated_Rent_yearly
753.3844608692777,Essex,2031,63464.70043378472
899.8959887291371,Essex,2032,74263.45229853436
827.0425660800782,Franklin,2025,9924.510792960938
884.16234549258,Franklin,2026,20534.458938871896
946.311331114846,Franklin,2027,31890.19491225005
917.2420750462284,Franklin,2028,42897.09981280479
969.2662212295796,Franklin,2029,54528.29446755974
1026.3860006422503,Franklin,2030,66844.92647526675
1088.5349862649614,Franklin,2031,79907.34631044629
1059.4657301959378,Franklin,2032,92620.93507279754
786.7597700030377,Fulton,2025,9441.117240036452
802.7840189129696,Fulton,2026,19074.525466992087
814.4314837473315,Fulton,2027,28847.703271960065
894.2991752126093,Fulton,2028,39579.29337451138
914.73838999555,Fulton,2029,50556.15405445798
930.7626389054582,Fulton,2030,61725.30572132347
942.4101037394724,Fulton,2031,73034.22696619714
1022.2777952050482,Fulton,2032,85301.56050865771
881.827629040886,Genesee,2025,10581.931548490633
919.853651780786,Genesee,2026,21620.175369860066
956.6665607587356,Genesee,2027,33100.1740989649
1018.1184833996332,Genesee,2028,45317.5958997605
1057.368859350394,Genesee,2029,58006.022211965224
1095.394882090314,Genesee,2030,71150.76079704899
1132.207791068147,Genesee,2031,84737.25428986676
1193.6597137091237,Genesee,2032,99061.17085437625
838.2231856343165,Greene,2025,10058.678227611797
810.5271943762191,Greene,2026,19785.00456012643
770.4072994618401,Greene,2027,29029.89215366851
958.4813576572558,Greene,2028,40531.66844555558
943.3071622229704,Greene,2029,51851.354392231224
915.6111709651022,Greene,2030,62838.688443812454
875.4912760495911,Greene,2031,73344.58375640755
1063.56533424583,Greene,2032,86107.3677673575
859.1197865233319,Hamilton,2025,10309.437438279983
921.0259262748812,Hamilton,2026,21361.748553578556
989.0212256202708,Hamilton,2027,33230.003261021804
948.5025251824782,Hamilton,2028,44612.033563211546
1004.2819278273424,Hamilton,2029,56663.416697139655
1066.1880675787038,Hamilton,2030,69457.6735080841
1134.1833669246412,Hamilton,2031,83067.87391117979
1093.6646664864627,Hamilton,2032,96191.84990901734
680.2721345742655,Herkimer,2025,8163.265614891186
648.688029757072,Herkimer,2026,15947.52197197605
601.9545890746882,Herkimer,2027,23170.97704087231
822.2401705951631,Herkimer,2028,33037.859088014266
806.032274841164,Herkimer,2029,42710.246386108236
774.4481700228155,Herkimer,2030,52003.624426382026
727.7147293390708,Herkimer,2031,60736.20117845088
948.0003108609895,Herkimer,2032,72112.20490878276
1130.590398636448,Jefferson,2025,13567.084783637376
1140.8256809254724,Jefferson,2026,27256.992954743044
1140.1953897311016,Jefferson,2027,40939.33763151626
1326.515306388388,Jefferson,2028,56857.52130817692
1347.6981533228611,Jefferson,2029,73029.89914805125
1357.9334356120469,Jefferson,2030,89325.1003753958
1357.303144416736,Jefferson,2031,105612.73810839663
1543.623061074734,Jefferson,2032,124136.21484129343
1780.0557592078308,Kings,2025,21360.669110493967
1768.981574275601,Kings,2026,42588.44800180118
1733.4171853150583,Kings,2027,63389.45422558188
2114.213851181991,Kings,2028,88760.02043976577
2127.8498127149664,Kings,2029,114294.21819234536
2116.775627782742,Kings,2030,139695.52572573826
2081.2112388201085,Kings,2031,164670.06059157956
2462.0079046887377,Kings,2032,194214.15544784442
630.0540228363329,Lewis,2025,7560.648274035995
603.465076693107,Lewis,2026,14802.22919435328
566.1103168326063,Lewis,2027,21595.552996344555
715.184127230975,Lewis,2028,30177.762523116256
699.4347484523557,Lewis,2029,38570.97950454452
672.8458023093661,Lewis,2030,46645.129132256916
635.4910424479262,Lewis,2031,54271.02164163203
784.5648528469833,Lewis,2032,63685.799875795834
752.4800779969175,Livingston,2025,9029.760935963011
725.9279346134583,Livingston,2026,17740.896151324512
686.4613978064237,Livingston,2027,25978.432925001598
876.5814237951917,Livingston,2028,36497.4100105439
863.051483631596,Livingston,2029,46854.02781412305
836.4993402482744,Livingston,2030,56892.01989710235
797.032803440096,Livingston,2031,66456.4135383835
987.1528294297352,Livingston,2032,78302.24749154031
837.9900027017854,Madison,2025,10055.880032421424
839.7124703833683,Madison,2026,20132.429677021843
831.1541214880044,Madison,2027,30106.279134877896
1005.417031538014,Madison,2028,42171.28351333406
1017.5046312085964,Madison,2029,54381.339087837216
1019.2270988902987,Madison,2030,66612.0642745208
1010.6687499940244,Madison,2031,78740.0892744491
1184.9316600447244,Madison,2032,92959.2691949858
993.9364681676002,Monroe,2025,11927.237618011202
947.0653785039632,Monroe,2026,23292.02216005876
876.9500698744456,Monroe,2027,33815.42299855211
1205.6648900984342,Monroe,2028,48283.40167973332
1182.2654017620737,Monroe,2029,62470.5865008782
1135.3943120982244,Monroe,2030,76095.3182460569
