ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2027-02-28,164001.2574525337,154743.73579993076,165524.5222638608,163593.88567068425,164359.55154327385,-3902.2432169769313,-3902.2432169769313,-3902.2432169769313,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,377.45429876234004,377.45429876234004,377.45429876234004,0.0,0.0,0.0,160099.01423555677,Oneida
2027-03-31,164834.02272126244,156212.09769979125,166992.9910617998,164379.06193235156,165222.6661942296,-2966.6477668109255,-2966.6477668109255,-2966.6477668109255,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1313.0497489283455,1313.0497489283455,1313.0497489283455,0.0,0.0,0.0,161867.37495445152,Oneida
2027-04-30,165639.92459422577,156651.4896932336,167723.37567620148,165139.90093647153,166069.2018374508,-3349.6900790981895,-3349.6900790981895,-3349.6900790981895,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,930.0074366410819,930.0074366410819,930.0074366410819,0.0,0.0,0.0,162290.23451512758,Oneida
2027-05-31,166472.68986295455,157490.56631750098,168021.8695957666,165933.7193515296,166934.7028450791,-3658.296292967634,-3658.296292967634,-3658.296292967634,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,621.4012227716371,621.4012227716371,621.4012227716371,0.0,0.0,0.0,162814.39356998692,Oneida
2027-06-30,167278.59173591787,158079.78798054607,168706.58087380932,166688.27229615988,167783.51275812404,-3950.5069660703475,-3950.5069660703475,-3950.5069660703475,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,329.1905496689238,329.1905496689238,329.1905496689238,0.0,0.0,0.0,163328.0847698475,Oneida
2027-07-31,168111.35700464668,157777.28399802273,168864.67981953078,167469.33694225023,168654.14354882675,-4837.323580969525,-4837.323580969525,-4837.323580969525,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-557.6260652302536,-557.6260652302536,-557.6260652302536,0.0,0.0,0.0,163274.03342367715,Oneida
2027-08-31,168944.12227337545,157717.02141949817,168712.6402798898,168268.6497561896,169531.93471947478,-5738.367442459095,-5738.367442459095,-5738.367442459095,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1458.669926719824,-1458.669926719824,-1458.669926719824,0.0,0.0,0.0,163205.75483091635,Oneida
2027-09-30,169750.02414633878,158118.81747002027,168756.96357685907,169029.30295709812,170375.69445654066,-6023.3724937333955,-6023.3724937333955,-6023.3724937333955,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1743.674977994124,-1743.674977994124,-1743.674977994124,0.0,0.0,0.0,163726.6516526054,Oneida
2027-10-31,170582.7894150676,159980.08821912436,170921.40510283512,169813.3733723561,171254.34350803442,-4984.5053038306105,-4984.5053038306105,-4984.5053038306105,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-704.8077880913389,-704.8077880913389,-704.8077880913389,0.0,0.0,0.0,165598.28411123698,Oneida
2027-11-30,171388.6912880309,162864.3560794945,173760.60027121613,170568.64267632147,172113.2978782263,-3160.3509713450726,-3160.3509713450726,-3160.3509713450726,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1119.3465443941989,1119.3465443941989,1119.3465443941989,0.0,0.0,0.0,168228.34031668585,Oneida
