County,YearNum,medianHousePrice
Dutchess,2024,228370.7056845016
Dutchess,2025,243060.30563432342
Dutchess,2026,257748.26205604468
Dutchess,2027,272436.2325522913
Dutchess,2028,287160.98868223326
Dutchess,2029,301850.58863205503
Dutchess,2030,314903.75966828177
Erie,2015,60264.82065483619
Erie,2016,69890.58242878986
Erie,2017,81489.20562558739
Erie,2018,92601.58757493515
Erie,2019,103968.98528381623
Erie,2020,116224.02936883782
Erie,2021,128957.74884956516
Erie,2022,141428.34547934713
Erie,2023,153062.4717555079
Erie,2024,163914.12149281116
Erie,2025,174661.0796388985
Erie,2026,185403.7149516799
Erie,2027,196146.3209918222
Erie,2028,206917.07649043362
Erie,2029,217664.03463652087
Erie,2030,227006.25917033583
Franklin,2015,75845.23705063232
Franklin,2016,77002.36196555948
Franklin,2017,78494.34771380894
