RegionID,SizeRank,RegionName,RegionType,StateName,Date,PriceValue
394568,432,"Elmira, NY",msa,NY,2015-11-30,
394350,464,"Auburn, NY",msa,NY,2015-11-30,
394939,542,"Oneonta, NY",msa,NY,2015-11-30,
394913,1,"New York, NY",msa,NY,2015-12-31,2067.1682831546946
394425,50,"Buffalo, NY",msa,NY,2015-12-31,1067.9424616117872
395031,52,"Rochester, NY",msa,NY,2015-12-31,1092.1000486934604
394308,64,"Albany, NY",msa,NY,2015-12-31,1286.2780544691298
845159,86,"Poughkeepsie, NY",msa,NY,2015-12-31,1679.3923909695202
395143,91,"Syracuse, NY",msa,NY,2015-12-31,
395179,169,"Utica, NY",msa,NY,2015-12-31,
394387,195,"Binghamton, NY",msa,NY,2015-12-31,
394748,241,"Kingston, NY",msa,NY,2015-12-31,
394719,328,"Jamestown, NY",msa,NY,2015-12-31,
394633,331,"Glens Falls, NY",msa,NY,2015-12-31,
395213,351,"Watertown, NY",msa,NY,2015-12-31,
394709,376,"Ithaca, NY",msa,NY,2015-12-31,
394501,413,"Corning, NY",msa,NY,2015-12-31,
394568,432,"Elmira, NY",msa,NY,2015-12-31,
394350,464,"Auburn, NY",msa,NY,2015-12-31,
394939,542,"Oneonta, NY",msa,NY,2015-12-31,
394913,1,"New York, NY",msa,NY,2016-01-31,2075.48054877899
394425,50,"Buffalo, NY",msa,NY,2016-01-31,1062.2679893890345
395031,52,"Rochester, NY",msa,NY,2016-01-31,1104.4379863363165
394308,64,"Albany, NY",msa,NY,2016-01-31,1285.742398644902
845159,86,"Poughkeepsie, NY",msa,NY,2016-01-31,1682.2519698289457
395143,91,"Syracuse, NY",msa,NY,2016-01-31,
395179,169,"Utica, NY",msa,NY,2016-01-31,
394387,195,"Binghamton, NY",msa,NY,2016-01-31,
394748,241,"Kingston, NY",msa,NY,2016-01-31,
394719,328,"Jamestown, NY",msa,NY,2016-01-31,
394633,331,"Glens Falls, NY",msa,NY,2016-01-31,
395213,351,"Watertown, NY",msa,NY,2016-01-31,
394709,376,"Ithaca, NY",msa,NY,2016-01-31,
394501,413,"Corning, NY",msa,NY,2016-01-31,
394568,432,"Elmira, NY",msa,NY,2016-01-31,
394350,464,"Auburn, NY",msa,NY,2016-01-31,
394939,542,"Oneonta, NY",msa,NY,2016-01-31,
394913,1,"New York, NY",msa,NY,2016-02-29,2087.255061409331
394425,50,"Buffalo, NY",msa,NY,2016-02-29,1063.935534212964
395031,52,"Rochester, NY",msa,NY,2016-02-29,1095.8262840434295
394308,64,"Albany, NY",msa,NY,2016-02-29,1292.2865927593796
845159,86,"Poughkeepsie, NY",msa,NY,2016-02-29,1700.8476715116483
395143,91,"Syracuse, NY",msa,NY,2016-02-29,
