Year,County,MedianRent
2020,Otsego,690.0
2020,Queens,1520.0
2020,Rensselaer,855.0
2020,Rockland,1396.0
2020,St. Lawrence,593.0
2020,Saratoga,1023.0
2020,Schenectady,817.0
2020,Schoharie,678.0
2020,Schuyler,606.0
2020,Seneca,662.0
2020,Steuben,580.0
2020,Suffolk,1669.0
2020,Sullivan,772.0
2020,Tioga,653.0
2020,Tompkins,1057.0
2020,Ulster,946.0
2020,Warren,797.0
2020,Washington,721.0
2020,Wayne,627.0
2020,Westchester,1463.0
2020,Wyoming,541.0
2020,Yates,586.0
2021,Albany,963.0
2021,Allegany,529.0
2021,Bronx,1180.0
2021,Broome,692.0
2021,Cattaraugus,536.0
2021,Cayuga,678.0
2021,Chautauqua,562.0
2021,Chemung,756.0
2021,Chenango,581.0
2021,Clinton,747.0
2021,Columbia,874.0
2021,Cortland,708.0
2021,Delaware,605.0
2021,Dutchess,1162.0
2021,Erie,766.0
2021,Essex,711.0
2021,Franklin,619.0
2021,Fulton,632.0
2021,Genesee,669.0
2021,Greene,784.0
2021,Hamilton,646.0
2021,Herkimer,604.0
2021,Jefferson,898.0
2021,Kings,1456.0
2021,Lewis,584.0
2021,Livingston,685.0
2021,Madison,666.0
2021,Monroe,873.0
2021,Montgomery,644.0
2021,Nassau,1796.0
2021,New York,1768.0
2021,Niagara,624.0
2021,Oneida,669.0
2021,Onondaga,817.0
2021,Ontario,840.0
2021,Orange,1194.0
2021,Orleans,617.0
2021,Oswego,704.0
2021,Otsego,718.0
2021,Putnam,1427.0
2021,Queens,1603.0
2021,Rensselaer,912.0
2021,Richmond,1315.0
2021,Rockland,1471.0
2021,St. Lawrence,622.0
2021,Saratoga,1080.0
2021,Schenectady,857.0
2021,Schoharie,688.0
2021,Schuyler,617.0
2021,Seneca,684.0
2021,Steuben,615.0
2021,Suffolk,1747.0
2021,Sullivan,812.0
2021,Tioga,696.0
2021,Tompkins,1143.0
2021,Ulster,997.0
2021,Warren,842.0
2021,Washington,759.0
2021,Wayne,654.0
2021,Westchester,1543.0
2021,Wyoming,550.0
2021,Yates,608.0
2022,Albany,1046.0
2022,Allegany,570.0
2022,Bronx,1265.0
2022,Broome,747.0
2022,Cattaraugus,577.0
2022,Cayuga,727.0
2022,Chautauqua,601.0
2022,Chemung,808.0
2022,Chenango,631.0
2022,Clinton,804.0
2022,Columbia,966.0
2022,Cortland,767.0
2022,Delaware,643.0
2022,Dutchess,1260.0
2022,Erie,849.0
2022,Essex,724.0
2022,Franklin,645.0
2022,Fulton,688.0
2022,Genesee,720.0
2022,Greene,850.0
2022,Hamilton,676.0
2022,Herkimer,651.0
2022,Jefferson,998.0
2022,Kings,1592.0
2022,Lewis,634.0
2022,Livingston,739.0
2022,Madison,738.0
2022,Monroe,945.0
2022,Montgomery,672.0
2022,Nassau,1944.0
2022,New York,1924.0
2022,Niagara,689.0
2022,Oneida,731.0
2022,Onondaga,878.0
2022,Ontario,918.0
2022,Orange,1305.0
2022,Orleans,667.0
2022,Oswego,752.0
2022,Otsego,778.0
2022,Putnam,1557.0
2022,Queens,1722.0
2022,Rensselaer,982.0
2022,Richmond,1419.0
2022,Rockland,1575.0
2022,St. Lawrence,653.0
2022,Saratoga,1142.0
2022,Schenectady,926.0
2022,Schoharie,733.0
2022,Schuyler,628.0
2022,Seneca,731.0
2022,Steuben,663.0
2022,Suffolk,1912.0
2022,Sullivan,869.0
2022,Tioga,746.0
2022,Tompkins,1191.0
2022,Ulster,1094.0
2022,Warren,900.0
2022,Washington,826.0
2022,Wayne,722.0
2022,Westchester,1655.0
2022,Wyoming,597.0
2022,Yates,645.0
2023,Albany,1115.0
2023,Allegany,574.0
2023,Bronx,1289.0
2023,Broome,774.0
2023,Cattaraugus,595.0
2023,Cayuga,747.0
2023,Chautauqua,628.0
