Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Mortgage_Rate,Rent_CF,Buy_CF,Rent_NPV,Buy_NPV,Rent_IRR,Buy_IRR
2021,Albany,New York,1113,235200,4835,1361,74905,3.06,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,2.96,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,2.98,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,2.87,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,2.84,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,2.9,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,3.07,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,3.07,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2021,Albany,New York,1113,235200,4835,1361,74905,3.1,-13356.0,-16332.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,3.44,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,3.76,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,4.17,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
2022,Albany,New York,1196,263800,5114,1436,74707,4.98,-14352.0,-17232.0,-160389.94697334885,-452846.1575172769,,-0.06646183497713698
