RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,PriceDate,HomePrice,County,Year,Month,TaxAmount,TaxDate,Mortgage Rate,RentDate,Housing,MonthlyRent
157,55,Erie County,county,NY,NY,"Buffalo-Cheektowaga, NY",36,29,2000-02-29,54836.832159147525,Erie,2000,2000-02-29,,,,2024-01-01,12016.0,1001.3333333333334
1223,87,Monroe County,county,NY,NY,"Rochester, NY",36,55,2000-02-29,56903.04097713584,Monroe,2000,2000-02-29,,,,2024-01-01,12754.0,1062.8333333333333
2511,143,Richmond County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,85,2000-02-29,112276.82099163788,Richmond,2000,2000-02-29,,,,2024-01-01,24853.0,2071.0833333333335
2465,150,Onondaga County,county,NY,NY,"Syracuse, NY",36,67,2000-02-29,47390.88052023358,Onondaga,2000,2000-02-29,,,,2024-01-01,12062.0,1005.1666666666666
1290,178,Orange County,county,NY,NY,"Poughkeepsie-Newburgh-Middletown, NY",36,71,2000-02-29,66836.77855426577,Orange,2000,2000-02-29,,,,2024-01-01,16102.0,1341.8333333333333
2515,211,Rockland County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,87,2000-02-29,111506.49196281256,Rockland,2000,2000-02-29,,,,2024-01-01,26869.0,2239.0833333333335
823,225,Albany County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,1,2000-02-29,68611.12546207727,Albany,2000,2000-02-29,,,,2024-01-01,13098.0,1091.5
2255,235,Dutchess County,county,NY,NY,"Poughkeepsie-Newburgh-Middletown, NY",36,27,2000-02-29,81601.27415865139,Dutchess,2000,2000-02-29,,,,2024-01-01,15298.0,1274.8333333333333
2529,288,Saratoga County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,91,2000-02-29,71922.99382016272,Saratoga,2000,2000-02-29,,,,2024-01-01,14092.0,1174.3333333333333
1283,293,Oneida County,county,NY,NY,"Utica-Rome, NY",36,65,2000-02-29,39472.70971965573,Oneida,2000,2000-02-29,,,,2024-01-01,11383.0,948.5833333333334
1946,319,Niagara County,county,NY,NY,"Buffalo-Cheektowaga, NY",36,63,2000-02-29,42801.81453880372,Niagara,2000,2000-02-29,,,,2024-01-01,10081.0,840.0833333333334
895,341,Broome County,county,NY,NY,"Binghamton, NY",36,7,2000-02-29,30573.80138027217,Broome,2000,2000-02-29,,,,2024-01-01,10472.0,872.6666666666666
1448,369,Ulster County,county,NY,NY,"Kingston, NY",36,111,2000-02-29,84273.97657887974,Ulster,2000,2000-02-29,,,,2024-01-01,16509.0,1375.75
3004,414,Rensselaer County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,83,2000-02-29,62271.79522109781,Rensselaer,2000,2000-02-29,,,,2024-01-01,12366.0,1030.5
3137,428,Schenectady County,county,NY,NY,"Albany-Schenectady-Troy, NY",36,93,2000-02-29,63198.300552353,Schenectady,2000,2000-02-29,,,,2024-01-01,12125.0,1010.4166666666666
2900,507,Chautauqua County,county,NY,NY,"Jamestown-Dunkirk-Fredonia, NY",36,13,2000-02-29,44911.148554288215,Chautauqua,2000,2000-02-29,,,,2024-01-01,8279.0,689.9166666666666
1296,534,Oswego County,county,NY,NY,"Syracuse, NY",36,75,2000-02-29,35785.13812552299,Oswego,2000,2000-02-29,,,,2024-01-01,10661.0,888.4166666666666
2748,537,Jefferson County,county,NY,NY,"Watertown-Fort Drum, NY",36,45,2000-02-29,38206.06730697968,Jefferson,2000,2000-02-29,,,,2024-01-01,10713.0,892.75
1952,551,Ontario County,county,NY,NY,"Rochester, NY",36,69,2000-02-29,57310.82812878178,Ontario,2000,2000-02-29,,,,2024-01-01,12754.0,1062.8333333333333
3249,565,Saint Lawrence County,county,NY,NY,"Ogdensburg-Massena, NY",36,89,2000-02-29,32792.35192098691,Saint Lawrence,2000,2000-02-29,,,,,,
2578,581,Tompkins County,county,NY,NY,"Ithaca, NY",36,109,2000-02-29,73778.95142004109,Tompkins,2000,2000-02-29,,,,2024-01-01,15906.0,1325.5
1343,620,Putnam County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,79,2000-02-29,98240.71273646,Putnam,2000,2000-02-29,,,,2024-01-01,26839.0,2236.5833333333335
2039,642,Steuben County,county,NY,NY,"Corning, NY",36,101,2000-02-29,53570.67379644362,Steuben,2000,2000-02-29,,,,2024-01-01,9990.0,832.5
1610,689,Chemung County,county,NY,NY,"Elmira, NY",36,15,2000-02-29,30280.37527315357,Chemung,2000,2000-02-29,,,,2024-01-01,11568.0,964.0
1630,715,Clinton County,county,NY,NY,"Plattsburgh, NY",36,19,2000-02-29,49178.84801138773,Clinton,2000,2000-02-29,,,,2024-01-01,11387.0,948.9166666666666
3088,732,Cattaraugus County,county,NY,NY,"Olean, NY",36,9,2000-02-29,44026.14942713705,Cattaraugus,2000,2000-02-29,,,,2024-01-01,8833.0,736.0833333333334
929,738,Cayuga County,county,NY,NY,"Auburn, NY",36,11,2000-02-29,53068.57342158148,Cayuga,2000,2000-02-29,,,,2024-01-01,9881.0,823.4166666666666
1909,790,Madison County,county,NY,NY,"Syracuse, NY",36,53,2000-02-29,54410.03051743093,Madison,2000,2000-02-29,,,,2024-01-01,10073.0,839.4166666666666
1479,827,Warren County,county,NY,NY,"Glens Falls, NY",36,113,2000-02-29,69084.68494167746,Warren,2000,2000-02-29,,,,2024-01-01,13045.0,1087.0833333333333
2961,861,Livingston County,county,NY,NY,"Rochester, NY",36,51,2000-02-29,55830.8048453017,Livingston,2000,2000-02-29,,,,2024-01-01,10330.0,860.8333333333334
2214,869,Columbia County,county,NY,NY,"Hudson, NY",36,21,2000-02-29,69390.87088260261,Columbia,2000,2000-02-29,,,,2024-01-01,14111.0,1175.9166666666667
3066,870,Washington County,county,NY,NY,"Glens Falls, NY",36,115,2000-02-29,43052.53988726105,Washington,2000,2000-02-29,,,,2024-01-01,11979.0,998.25
2340,878,Herkimer County,county,NY,NY,"Utica-Rome, NY",36,43,2000-02-29,47199.60781566804,Herkimer,2000,2000-02-29,,,,2024-01-01,10067.0,838.9166666666666
1298,890,Otsego County,county,NY,NY,"Oneonta, NY",36,77,2000-02-29,35024.27745535865,Otsego,2000,2000-02-29,,,,2024-01-01,9785.0,815.4166666666666
