Ds,Yhat,Yhat Lower,Yhat Upper,County
2027-12-31,1536.178753087555,1401.4259535711292,1664.572520681799,Rockland
2028-12-31,1986.9482968097889,1805.113198518522,2158.709498447095,Rockland
2029-12-31,1964.40934467869,1729.7991386092367,2183.1726716270377,Rockland
2030-12-31,1911.0325914803254,1622.1224228777464,2186.0855856221237,Rockland
2031-12-31,1827.2479951143705,1480.3556104925353,2172.3531000499397,Rockland
2032-12-31,2278.017538840164,1863.8019943955783,2690.211725265778,Rockland
2024-12-31,811.2469005337916,798.6226310700937,824.9334552526267,Niagara
2025-12-31,840.1120071448968,814.5635187184599,865.8438967034075,Niagara
2026-12-31,862.2089928579023,822.1215223722908,903.2324109822537,Niagara
2027-12-31,877.6007646672505,819.0897408555498,935.2662064647371,Niagara
