Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2016,Chenango,New York,632,93400,2390,735,14968,735,1269,1471,-248529,249798,1.269,-248.529,249.798
2017,Chenango,New York,645,95900,2451,730,15265,730,1914,2201,-247799,249713,1.914,-247.799,249.713
2018,Chenango,New York,667,97000,2537,745,15370,745,2581,2946,-247054,249635,2.581,-247.054,249.635
2019,Chenango,New York,678,98400,2545,745,15414,745,3259,3691,-246309,249568,3.259,-246.309,249.568
2020,Chenango,New York,692,102300,2722,766,15574,766,3951,4457,-245543,249494,3.951,-245.543,249.494
2021,Chenango,New York,714,107900,2830,810,15063,810,4665,5267,-244733,249398,4.665,-244.733,249.398
2022,Chenango,New York,798,121100,2966,883,15170,883,5463,6150,-243850,249313,5.463,-243.85,249.313
2023,Chenango,New York,819,128100,3061,905,15112,905,6282,7055,-242945,249227,6.282,-242.945,249.227
2015,Clinton,New York,744,124200,2540,836,21713,836,744,836,-249164,249908,0.744,-249.164,249.908
2016,Clinton,New York,748,127500,2554,812,21598,812,1492,1648,-248352,249844,1.492,-248.352,249.844
2017,Clinton,New York,762,129000,2652,821,21542,821,2254,2469,-247531,249785,2.254,-247.531,249.785
2018,Clinton,New York,796,132000,2697,841,21264,841,3050,3310,-246690,249740,3.05,-246.69,249.74
2019,Clinton,New York,810,134100,2719,844,20810,844,3860,4154,-245846,249706,3.86,-245.846,249.706
2020,Clinton,New York,835,139600,2864,858,21421,858,4695,5012,-244988,249683,4.695,-244.988,249.683
2021,Clinton,New York,872,143800,2997,933,22113,933,5567,5945,-244055,249622,5.567,-244.055,249.622
2022,Clinton,New York,944,165200,3351,1016,22542,1016,6511,6961,-243039,249550,6.511,-243.039,249.55
2023,Clinton,New York,956,175100,3461,1009,22911,1009,7467,7970,-242030,249497,7.467,-242.03,249.497
2015,Columbia,New York,884,222100,4216,1204,18141,1204,884,1204,-248796,249680,0.884,-248.796,249.68
2016,Columbia,New York,877,222300,4224,1166,18331,1166,1761,2370,-247630,249391,1.761,-247.63,249.391
2017,Columbia,New York,886,224600,4334,1164,18429,1164,2647,3534,-246466,249113,2.647,-246.466,249.113
2018,Columbia,New York,931,231100,4469,1170,18201,1170,3578,4704,-245296,248874,3.578,-245.296,248.874
2019,Columbia,New York,928,233600,4392,1175,18403,1175,4506,5879,-244121,248627,4.506,-244.121,248.627
2020,Columbia,New York,944,236500,4339,1153,18530,1153,5450,7032,-242968,248418,5.45,-242.968,248.418
2021,Columbia,New York,992,250600,4502,1213,18332,1213,6442,8245,-241755,248197,6.442,-241.755,248.197
2022,Columbia,New York,1114,283700,4854,1322,18868,1322,7556,9567,-240433,247989,7.556,-240.433,247.989
2023,Columbia,New York,1199,309800,4795,1354,19668,1354,8755,10921,-239079,247834,8.755,-239.079,247.834
2015,Cortland,New York,684,108200,3418,911,11788,911,684,911,-249089,249773,0.684,-249.089,249.773
2016,Cortland,New York,700,111400,3487,917,11511,917,1384,1828,-248172,249556,1.384,-248.172,249.556
2017,Cortland,New York,742,113900,3610,928,11598,928,2126,2756,-247244,249370,2.126,-247.244,249.37
2018,Cortland,New York,764,118100,3716,940,11710,940,2890,3696,-246304,249194,2.89,-246.304,249.194
2019,Cortland,New York,778,123800,3848,951,11648,951,3668,4647,-245353,249021,3.668,-245.353,249.021
2020,Cortland,New York,787,126700,3843,934,11906,934,4455,5581,-244419,248874,4.455,-244.419,248.874
2021,Cortland,New York,811,130000,3843,951,12296,951,5266,6532,-243468,248734,5.266,-243.468,248.734
2022,Cortland,New York,884,148200,4035,1016,12213,1016,6150,7548,-242452,248602,6.15,-242.452,248.602
2023,Cortland,New York,911,158100,4184,1084,12460,1084,7061,8632,-241368,248429,7.061,-241.368,248.429
2015,Delaware,New York,668,132400,2554,758,14000,758,668,758,-249242,249910,0.668,-249.242,249.91
2016,Delaware,New York,682,135200,2636,749,13787,749,1350,1507,-248493,249843,1.35,-248.493,249.843
