Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2022,Ulster,New York,1269,288400,6114,1526,49975,1526,8849,11180,-238820,247669,8.849,-238.82,247.669
2023,Ulster,New York,1335,315100,6124,1571,51163,1571,10184,12751,-237249,247433,10.184,-237.249,247.433
2015,Warren,New York,862,189700,2966,1029,18890,1029,862,1029,-248971,249833,0.862,-248.971,249.833
2016,Warren,New York,879,191500,3113,1045,19037,1045,1741,2074,-247926,249667,1.741,-247.926,249.667
2017,Warren,New York,881,192800,3141,1060,19605,1060,2622,3134,-246866,249488,2.622,-246.866,249.488
2018,Warren,New York,884,193800,3197,1081,19547,1081,3506,4215,-245785,249291,3.506,-245.785,249.291
2019,Warren,New York,929,196500,3326,1082,19820,1082,4435,5297,-244703,249138,4.435,-244.703,249.138
2020,Warren,New York,932,208600,3461,1114,20516,1114,5367,6411,-243589,248956,5.367,-243.589,248.956
2021,Warren,New York,969,214300,3587,1132,20673,1132,6336,7543,-242457,248793,6.336,-242.457,248.793
2022,Warren,New York,1062,240600,3731,1231,21036,1231,7398,8774,-241226,248624,7.398,-241.226,248.624
2023,Warren,New York,1089,247600,3789,1283,21470,1283,8487,10057,-239943,248430,8.487,-239.943,248.43
2015,Washington,New York,803,142700,3147,994,17531,994,803,994,-249006,249809,0.803,-249.006,249.809
2016,Washington,New York,819,143900,3201,991,17368,991,1622,1985,-248015,249637,1.622,-248.015,249.637
2017,Washington,New York,823,144900,3257,987,17431,987,2445,2972,-247028,249473,2.445,-247.028,249.473
2018,Washington,New York,848,145900,3282,983,17507,983,3293,3955,-246045,249338,3.293,-246.045,249.338
2019,Washington,New York,855,149000,3356,955,17782,955,4148,4910,-245090,249238,4.148,-245.09,249.238
2020,Washington,New York,861,151500,3435,941,17494,941,5009,5851,-244149,249158,5.009,-244.149,249.158
2021,Washington,New York,893,158100,3632,1014,17709,1014,5902,6865,-243135,249037,5.902,-243.135,249.037
2022,Washington,New York,964,176900,3832,1096,17916,1096,6866,7961,-242039,248905,6.866,-242.039,248.905
2023,Washington,New York,1000,185000,3852,1114,18568,1114,7866,9075,-240925,248791,7.866,-240.925,248.791
2015,Wayne,New York,694,112900,3418,938,28288,938,694,938,-249062,249756,0.694,-249.062,249.756
2016,Wayne,New York,716,115100,3440,946,28037,946,1410,1884,-248116,249526,1.41,-248.116,249.526
2017,Wayne,New York,742,118900,3498,946,28109,946,2152,2830,-247170,249322,2.152,-247.17,249.322
2018,Wayne,New York,757,121700,3564,983,27723,983,2909,3813,-246187,249096,2.909,-246.187,249.096
2019,Wayne,New York,779,123800,3612,974,28071,974,3688,4787,-245213,248901,3.688,-245.213,248.901
2020,Wayne,New York,772,130000,3578,983,29114,983,4460,5770,-244230,248690,4.46,-244.23,248.69
2021,Wayne,New York,810,134800,3735,1008,29500,1008,5270,6778,-243222,248492,5.27,-243.222,248.492
2022,Wayne,New York,877,151900,3999,1096,30116,1096,6147,7874,-242126,248273,6.147,-242.126,248.273
2023,Wayne,New York,929,163400,4168,1125,30531,1125,7076,8999,-241001,248077,7.076,-241.001,248.077
2015,Westchester,New York,1364,506900,10001,2527,210195,2527,1364,2527,-247473,248837,1.364,-247.473,248.837
2016,Westchester,New York,1394,507300,10001,2521,210004,2521,2758,5048,-244952,247710,2.758,-244.952,247.71
2017,Westchester,New York,1444,513300,10001,2539,212731,2539,4202,7587,-242413,246615,4.202,-242.413,246.615
2018,Westchester,New York,1493,528300,10001,2573,212889,2573,5695,10160,-239840,245535,5.695,-239.84,245.535
2019,Westchester,New York,1537,540600,10001,2605,214474,2605,7232,12765,-237235,244467,7.232,-237.235,244.467
2020,Westchester,New York,1599,544100,10001,2557,216939,2557,8831,15322,-234678,243509,8.831,-234.678,243.509
2021,Westchester,New York,1682,559900,10001,2651,224531,2651,10513,17973,-232027,242540,10.513,-232.027,242.54
2022,Westchester,New York,1796,619000,10001,2823,229004,2823,12309,20796,-229204,241513,12.309,-229.204,241.513
2023,Westchester,New York,1876,638400,10001,2882,230294,2882,14185,23678,-226322,240507,14.185,-226.322,240.507
2015,Wyoming,New York,589,102000,2781,827,11865,827,589,827,-249173,249762,0.589,-249.173,249.762
2016,Wyoming,New York,614,104200,2902,819,11936,819,1203,1646,-248354,249557,1.203,-248.354,249.557
2017,Wyoming,New York,634,108500,3038,839,11897,839,1837,2485,-247515,249352,1.837,-247.515,249.352
2018,Wyoming,New York,640,112200,3165,855,12071,855,2477,3340,-246660,249137,2.477,-246.66,249.137
2019,Wyoming,New York,659,115900,3233,851,12241,851,3136,4191,-245809,248945,3.136,-245.809,248.945
2020,Wyoming,New York,681,118800,3114,813,12296,813,3817,5004,-244996,248813,3.817,-244.996,248.813
2021,Wyoming,New York,713,125300,3301,849,12281,849,4530,5853,-244147,248677,4.53,-244.147,248.677
2022,Wyoming,New York,787,143000,3464,893,12457,893,5317,6746,-243254,248571,5.317,-243.254,248.571
2023,Wyoming,New York,782,154700,3557,900,12518,900,6099,7646,-242354,248453,6.099,-242.354,248.453
2015,Yates,New York,688,124200,2674,824,7454,824,688,824,-249176,249864,0.688,-249.176,249.864
2016,Yates,New York,701,126900,2696,808,7346,808,1389,1632,-248368,249757,1.389,-248.368,249.757
2017,Yates,New York,732,128900,2802,837,7196,837,2121,2469,-247531,249652,2.121,-247.531,249.652
2018,Yates,New York,753,128800,2785,823,7152,823,2874,3292,-246708,249582,2.874,-246.708,249.582
2019,Yates,New York,775,136300,2812,827,7137,827,3649,4119,-245881,249530,3.649,-245.881,249.53
2020,Yates,New York,712,142300,2904,834,6805,834,4361,4953,-245047,249408,4.361,-245.047,249.408
2021,Yates,New York,723,146600,3012,857,6546,857,5084,5810,-244190,249274,5.084,-244.19,249.274
2022,Yates,New York,773,159800,3115,933,6862,933,5857,6743,-243257,249114,5.857,-243.257,249.114
2023,Yates,New York,802,178000,3417,997,7024,997,6659,7740,-242260,248919,6.659,-242.26,248.919
