Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Net_Difference,Cumulative_Rent_k,Cumulative_Owner_k,Net_Difference_k
2023,Clinton,New York,956,175100,3461,1009,22911,1009,7467,7970,-503,7.467,7.97,-0.503
2015,Columbia,New York,884,222100,4216,1204,18141,1204,884,1204,-320,0.884,1.204,-0.32
2016,Columbia,New York,877,222300,4224,1166,18331,1166,1761,2370,-609,1.761,2.37,-0.609
2017,Columbia,New York,886,224600,4334,1164,18429,1164,2647,3534,-887,2.647,3.534,-0.887
2018,Columbia,New York,931,231100,4469,1170,18201,1170,3578,4704,-1126,3.578,4.704,-1.126
2019,Columbia,New York,928,233600,4392,1175,18403,1175,4506,5879,-1373,4.506,5.879,-1.373
2020,Columbia,New York,944,236500,4339,1153,18530,1153,5450,7032,-1582,5.45,7.032,-1.582
2021,Columbia,New York,992,250600,4502,1213,18332,1213,6442,8245,-1803,6.442,8.245,-1.803
2022,Columbia,New York,1114,283700,4854,1322,18868,1322,7556,9567,-2011,7.556,9.567,-2.011
2023,Columbia,New York,1199,309800,4795,1354,19668,1354,8755,10921,-2166,8.755,10.921,-2.166
2015,Cortland,New York,684,108200,3418,911,11788,911,684,911,-227,0.684,0.911,-0.227
2016,Cortland,New York,700,111400,3487,917,11511,917,1384,1828,-444,1.384,1.828,-0.444
2017,Cortland,New York,742,113900,3610,928,11598,928,2126,2756,-630,2.126,2.756,-0.63
2018,Cortland,New York,764,118100,3716,940,11710,940,2890,3696,-806,2.89,3.696,-0.806
2019,Cortland,New York,778,123800,3848,951,11648,951,3668,4647,-979,3.668,4.647,-0.979
2020,Cortland,New York,787,126700,3843,934,11906,934,4455,5581,-1126,4.455,5.581,-1.126
2021,Cortland,New York,811,130000,3843,951,12296,951,5266,6532,-1266,5.266,6.532,-1.266
2022,Cortland,New York,884,148200,4035,1016,12213,1016,6150,7548,-1398,6.15,7.548,-1.398
2023,Cortland,New York,911,158100,4184,1084,12460,1084,7061,8632,-1571,7.061,8.632,-1.571
2015,Delaware,New York,668,132400,2554,758,14000,758,668,758,-90,0.668,0.758,-0.09
2016,Delaware,New York,682,135200,2636,749,13787,749,1350,1507,-157,1.35,1.507,-0.157
2017,Delaware,New York,696,138000,2748,754,14008,754,2046,2261,-215,2.046,2.261,-0.215
2018,Delaware,New York,696,136300,2743,788,14132,788,2742,3049,-307,2.742,3.049,-0.307
2019,Delaware,New York,691,139300,2746,777,14010,777,3433,3826,-393,3.433,3.826,-0.393
2020,Delaware,New York,700,144000,2781,767,14296,767,4133,4593,-460,4.133,4.593,-0.46
2021,Delaware,New York,723,147600,2812,808,14054,808,4856,5401,-545,4.856,5.401,-0.545
2022,Delaware,New York,785,160400,2938,889,14490,889,5641,6290,-649,5.641,6.29,-0.649
