Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Equity,Net_Difference,Cumulative_Rent_k,Cumulative_Equity_k,Net_Difference_k
2015,Clinton,New York,744,124200,2540,836,21713,836,744,250000,-249256,0.744,250.0,-249.256
2016,Clinton,New York,748,127500,2554,812,21598,812,1492,250836,-249344,1.492,250.836,-249.344
2017,Clinton,New York,762,129000,2652,821,21542,821,2254,251648,-249394,2.254,251.648,-249.394
2018,Clinton,New York,796,132000,2697,841,21264,841,3050,252469,-249419,3.05,252.469,-249.419
2019,Clinton,New York,810,134100,2719,844,20810,844,3860,253310,-249450,3.86,253.31,-249.45
2020,Clinton,New York,835,139600,2864,858,21421,858,4695,254154,-249459,4.695,254.154,-249.459
2021,Clinton,New York,872,143800,2997,933,22113,933,5567,255012,-249445,5.567,255.012,-249.445
2022,Clinton,New York,944,165200,3351,1016,22542,1016,6511,255945,-249434,6.511,255.945,-249.434
2023,Clinton,New York,956,175100,3461,1009,22911,1009,7467,256961,-249494,7.467,256.961,-249.494
2015,Columbia,New York,884,222100,4216,1204,18141,1204,884,250000,-249116,0.884,250.0,-249.116
2016,Columbia,New York,877,222300,4224,1166,18331,1166,1761,251204,-249443,1.761,251.204,-249.443
2017,Columbia,New York,886,224600,4334,1164,18429,1164,2647,252370,-249723,2.647,252.37,-249.723
2018,Columbia,New York,931,231100,4469,1170,18201,1170,3578,253534,-249956,3.578,253.534,-249.956
2019,Columbia,New York,928,233600,4392,1175,18403,1175,4506,254704,-250198,4.506,254.704,-250.198
2020,Columbia,New York,944,236500,4339,1153,18530,1153,5450,255879,-250429,5.45,255.879,-250.429
2021,Columbia,New York,992,250600,4502,1213,18332,1213,6442,257032,-250590,6.442,257.032,-250.59
2022,Columbia,New York,1114,283700,4854,1322,18868,1322,7556,258245,-250689,7.556,258.245,-250.689
2023,Columbia,New York,1199,309800,4795,1354,19668,1354,8755,259567,-250812,8.755,259.567,-250.812
2015,Cortland,New York,684,108200,3418,911,11788,911,684,250000,-249316,0.684,250.0,-249.316
2016,Cortland,New York,700,111400,3487,917,11511,917,1384,250911,-249527,1.384,250.911,-249.527
2017,Cortland,New York,742,113900,3610,928,11598,928,2126,251828,-249702,2.126,251.828,-249.702
2018,Cortland,New York,764,118100,3716,940,11710,940,2890,252756,-249866,2.89,252.756,-249.866
2019,Cortland,New York,778,123800,3848,951,11648,951,3668,253696,-250028,3.668,253.696,-250.028
2020,Cortland,New York,787,126700,3843,934,11906,934,4455,254647,-250192,4.455,254.647,-250.192
2021,Cortland,New York,811,130000,3843,951,12296,951,5266,255581,-250315,5.266,255.581,-250.315
2022,Cortland,New York,884,148200,4035,1016,12213,1016,6150,256532,-250382,6.15,256.532,-250.382
2023,Cortland,New York,911,158100,4184,1084,12460,1084,7061,257548,-250487,7.061,257.548,-250.487
2015,Delaware,New York,668,132400,2554,758,14000,758,668,250000,-249332,0.668,250.0,-249.332
2016,Delaware,New York,682,135200,2636,749,13787,749,1350,250758,-249408,1.35,250.758,-249.408
2017,Delaware,New York,696,138000,2748,754,14008,754,2046,251507,-249461,2.046,251.507,-249.461
2018,Delaware,New York,696,136300,2743,788,14132,788,2742,252261,-249519,2.742,252.261,-249.519
2019,Delaware,New York,691,139300,2746,777,14010,777,3433,253049,-249616,3.433,253.049,-249.616
2020,Delaware,New York,700,144000,2781,767,14296,767,4133,253826,-249693,4.133,253.826,-249.693
2021,Delaware,New York,723,147600,2812,808,14054,808,4856,254593,-249737,4.856,254.593,-249.737
2022,Delaware,New York,785,160400,2938,889,14490,889,5641,255401,-249760,5.641,255.401,-249.76
2023,Delaware,New York,848,176200,3059,944,14530,944,6489,256290,-249801,6.489,256.29,-249.801
